hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY,postTime
1119579777,"39.904957,116.374823",228,http://bj.xiaozhu.com/fangzi/1119579777.html,单间出租,4,西城宣武门西大街后八楼,1116086878,http://www.xiaozhu.com/fangdong/1116086878/,1,20,3室1厅1卫1厨1阳台,3,1,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,
2584307362,"39.85268,116.435225",228,http://bj.xiaozhu.com/fangzi/2584307362.html,单间出租,0,丰台宋家庄23号院万科红狮小区,1599682335,http://www.xiaozhu.com/fangdong/1599682335/,1,16,2室2厅1卫1厨1阳台,2,2,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,2016-04-01
3877498129,"39.938255,116.474553",229,http://bj.xiaozhu.com/fangzi/3877498129.html,单间出租,2,朝阳团结湖北三条,2234765245,http://www.xiaozhu.com/fangdong/2234765245/,2,50,2室1厅1卫1厨0阳台,2,1,1,1,0,2,4,可能与其他房客分住不同房间,1,bj,
1071250178,"39.969093,116.358398",228,http://bj.xiaozhu.com/fangzi/1071250178.html,整租,4,海淀西土城路31号,634342300,http://www.xiaozhu.com/fangdong/634342300/,2,38,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,3,bj,
2633834562,"39.890541,116.459409",228,http://bj.xiaozhu.com/fangzi/2633834562.html,单间出租,3,朝阳劲松二区223号楼,91563400,http://www.xiaozhu.com/fangdong/91563400/,1,25,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,2016-04-08
3521488229,"39.947797,116.38916",228,http://bj.xiaozhu.com/fangzi/3521488229.html,整租,4,西城羊房胡同,1240833435,http://www.xiaozhu.com/fangdong/1240833435/,2,40,2室0厅1卫0厨0阳台,2,0,1,0,0,5,5,房客独享整套房屋,3,bj,
1032268559,"39.999111,116.507248",228,http://bj.xiaozhu.com/fangzi/1032268559.html,单间出租,5,朝阳彩虹路6号,840494038,http://www.xiaozhu.com/fangdong/840494038/,1,18,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,2015-04-24
1212516205,"39.999268,116.506454",228,http://bj.xiaozhu.com/fangzi/1212516205.html,单间出租,5,朝阳大山子彩虹路6号银枫家园(798艺术区往北300米),840494038,http://www.xiaozhu.com/fangdong/840494038/,1,16,3室2厅2卫1厨1阳台,3,2,2,1,1,2,4,可能与其他房客分住不同房间,1,bj,2015-07-16
82157201,"39.902824,116.420853",228,http://bj.xiaozhu.com/fangzi/82157201.html,整租,4,东城东兴隆街,80364200,http://www.xiaozhu.com/fangdong/80364200/,2,30,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
3287576129,"39.946967,116.653891",228,http://bj.xiaozhu.com/fangzi/3287576129.html,整租,2,通州滨榆东路朝北8080小区,2994084263,http://www.xiaozhu.com/fangdong/2994084263/,2,47,1室1厅2卫1厨1阳台,1,1,2,1,1,3,5,房客独享整套房屋,1,bj,
