"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"上海世纪公园","2080797548","4A景区","121.558497,31.221764","9","4.9","6385","shanghai","上海市浦东新区浦东锦绣路1001号"
"枫竹苑游泳馆","2081217088","0","116.380783,39.840258","0","0","0","beijing","北京市丰台区角门18号枫竹苑一区未来假日花园西门"
"龙门山","2081323241","0","104.13258431485,30.641331226713","0","0","0","chengdu","四川成都市彭州西北方"
"TWM运动生活馆","2081394388","0","121.513189,31.246923","0","0","0","shanghai","上海市浦东新区银城中路68号时代金融中心39楼"
"平望小九华寺","2081629501","0","120.65167395323,30.978405850328","0","0","0","suzhou","江苏苏州吴江市平望镇九华路"
"今日美术馆","208176469","0","116.47427,39.905815","0","0","0","beijing","北京市朝阳区百子湾路32号苹果社区4号楼。"
"董家渡天主堂","2081829533","0","121.51096741066,31.219968348313","0","0","0","shanghai","上海-黄浦区"
"钱塘江大桥","2083003057","0","120.143807,30.208723","0","5","14","hangzhou","浙江省杭州市西湖区"
"爱提沙spa会所","2084074315","0","121.494418,31.219974","0","0","0","shanghai","上海市黄浦区黄家阙路143号"
"南翔寺","2084168314","0","121.31472480027,31.297324986712","0","0","0","shanghai","上海市嘉定区古猗园"
"雨枫书馆","2084967207","0","116.331945,39.99857","0","0","0","beijing","北京市海淀区成府路69号"
"张自忠北京故居","2085041304","0","116.388274,39.923801","0","0","0","beijing","北京市西城区府右街丙27号"
"浩泰滑冰俱乐部（崇文门店）","20850455","0","116.424301,39.903155","0","4.7","25","beijing","北京市东城区崇文门外大街5号新世界商场二期B1楼"
"泰迪熊纪念展","2086802092","0","116.467337,39.900681","0","0","0","beijing","朝阳区双井桥西北侧富力广场购物中心一层大厅（国贸桥向南约700米）"
"冷水国际滑雪场","2086832173","0","108.543021,30.177712","0","5","23","chongqing","重庆市石柱县冷水镇刘家沟"
"天通苑蓬莱游泳馆","2086924826","0","116.421716,40.131819","0","5","1","beijing","北京市昌平区北七家镇立汤路平西府路口蓬莱公寓小区内"
"很多鱼的鱼疗馆","2086974126","0","116.622346,39.933649","0","0","0","beijing","北京朝阳区朝阳北路五里桥二街中弘北京像素南区4号楼418"
"七里山塘","2086978906","4A景区","120.609739,31.322922","48","4.8","2929","suzhou","江苏省苏州市金阊区广济路218号"
"雾灵山雾朦溪谷山庄","2087496231","0","117.493015,40.655114","0","0","0","beijing","北京市密云区新城子镇花园村委会对面"
"权金城休闲家园（农大店）","208766035","0","116.30038,40.030082","0","4.9","8","beijing","北京市海淀区农大南路118号"
"重庆市人民大礼堂","208797315","4A景区","106.559947,29.567994","58","4.3","414","chongqing","重庆市渝中区人民路173号"
"锦绣农庄","208824390","0","116.209104,40.099299","0","0","0","beijing","北京市海淀区上庄水库大桥南岸往西400米"
"新安江水世界","2088489765","0","119.222029,29.37326","0","4.2","61","hangzhou","浙江省建德市寿昌镇横山社区71号"
"乡间情趣园","2089874554","0","116.66935577568,40.368871527632","0","0","0","beijing","北京省怀柔区雁西湖三号坝下游"
"金山区体育中心","2090519515","0","121.335183,30.790851","0","0","0","shanghai","上海金山区松卫南路1700号"
"宝寿山景区","2091011326","0","0.0,0.0","0","0","0","hangzhou",""
"丰泰庵","209201556","0","116.395711,39.945714","0","0","0","beijing","北京市西城区后海南沿26号"
"CLUB G PLUS","2092739150","0","121.481407,31.224913","0","0","0","shanghai","上海卢湾区兴业路123弄新天地南里广场6号楼5楼"
"妇女儿童活动中心","2094103451","0","116.205615,39.916446","0","0","0","beijing","北京市石景山区八角西路"
"英公水库","2094258053","0","119.356992,30.27732","0","0","0","hangzhou","杭州临安市北於潜镇英公村"
"乐仕堡儿童拓展（草桥店）","2094287363","0","116.365383,39.857001","0","5","3","beijing","北京市丰台区草桥东路一号上品折扣3层"
"大型3D音画歌舞剧《仙女恋歌》","2094435953","0","107.767437,29.42473","0","5","21","chongqing","重庆市武隆区仙女山镇体育场"
"通济花海","2094692820","0","103.820115,31.167115","0","4.9","383","chengdu","四川省彭州市通济镇乔楼村"
"乐果草莓园","209508063","0","120.793651,31.164763","0","0","0","suzhou","苏州市吴江同里镇草理洲公交车站台旁"
"南山植物园","209576841","4A景区","106.6377,29.56099","45","4.9","2676","chongqing","重庆市南岸区南山公园路101号"
"集酷玩屋魔幻乐园","2097674267","0","116.327577,39.69239","0","0","0","beijing","北京市大兴区生物医药基地地铁站龙湖天街广场"
"宝贝乐园","2098436208","0","121.401869,31.632364","0","0","0","shanghai","上海市崇明县城桥镇北门路251号（庆成菜场东10米）"
"成都奥克斯广场","2098887885","0","104.0753509847,30.587884844685","0","0","0","chengdu","四川省成都市民丰大道西段地铁1号线孵化园站旁"
"成都金港赛车场","2098910106","0","104.15029867103,30.610818636596","0","0","0","chengdu","四川省成都市锦江区三环路外侧三圣乡成都金港汽车公园内。"
"吾悦广场（儿童剧场 明星签唱 国际杂技）","2098915567","0","120.6246,31.143972","0","0","0","suzhou","苏州市吴江区吾悦广场开平路冬梅街交汇处附近"
"洪氏环企鹅","209897902","0","121.40602549683,31.229676751166","0","0","0","shanghai","上海市普陀区大渡河路525号长风公园内"
"永升都市犬俱乐部","2099444402","0","121.074924,31.244621","0","0","0","shanghai","上海市青浦区白鹤镇江南村江平路115号"
"秋梅","2099862400","0","119.303757,29.492471","0","0","0","hangzhou","中国浙江省建德市新安东路427号"
"万世名流酒店温泉","2100271180","0","116.446866,40.033666","0","4.8","16","beijing","北京市朝阳区北苑东路顾家庄桥北奥迪培训中心"
"太平天国军械所遗址","210040377","0","120.62271686462,31.31987944246","0","3","1","suzhou","中国江苏省苏州市中街路马大鹿巷12号"
"上海浦东射击俱乐部","2100630997","0","121.898659,31.013884","0","4","1","shanghai","上海市浦东新区通源路1号滨海旅游度假区内"
